Applying action 736) 47, S, None, Flipped...
Applying action 674) 44, L, ThreeQuarters, None
Applying action 433) 27, T, None, None...
Applying action 362) 23, T, None, None
Applying action 4) 0, L, Half, None...
Applying action 834) 54, S, Quarter, Flipped
Applying action 1131) 75, L, Quarter, Flipped...
Applying action 324) 21, I, None, None
Applying action 1230) 91, I, Quarter, None...
Applying action 63) 3, I, Quarter, None
Applying action 1042) 69, I, None, None...
Applying action 959) 63, T, Quarter, None
Applying action 910) 60, S, Quarter, None...
Applying action 133) 7, L, ThreeQuarters, Flipped
Applying action 1030) 67, T, Quarter, None...
Applying action 1235) 96, I, Quarter, None...
Applying action 1154) 76, T, None, None
Applying action 1205) 83, S, None, Flipped...
Applying action 1185) 80, T, None, None
Applying action 972) 64, L, ThreeQuarters, None...
Applying action 903) 60, I, Quarter, None
Applying action 885) 57, S, None, Flipped...
Applying action 678) 44, T, None, None
Applying action 621) 41, L, ThreeQuarters, Flipped...
Applying action 582) 37, T, None, None
Applying action 394) 25, L, ThreeQuarters, None...
Applying action 344) 22, T, None, None
Applying action 165) 10, S, Quarter, None...
Applying action 147) 8, S, Quarter, None
Applying action 81) 4, I, Quarter, None...
Applying action 25) 1, L, ThreeQuarters, Flipped
Applying action 1235) 96, I, Quarter, None...
Applying action 1206) 84, L, ThreeQuarters, None
Applying action 1229) 90, I, Quarter, None...
Applying action 1170) 77, T, None, None
Applying action 1069) 71, T, None, None...
Applying action 976) 64, T, None, None
Applying action 878) 57, L, ThreeQuarters, Flipped...
Applying action 787) 52, L, ThreeQuarters, None
Applying action 677) 44, I, Quarter, None...
Applying action 607) 40, T, Quarter, None
Applying action 475) 31, T, None, None...
Applying action 445) 28, S, Quarter, None
Applying action 394) 25, L, ThreeQuarters, None...
Applying action 200) 12, S, None, Flipped
Applying action 154) 10, L, Half, Flipped...
Applying action 63) 3, I, Quarter, None
Applying action 1235) 96, I, Quarter, None...
Applying action 1206) 84, L, ThreeQuarters, None
Applying action 1229) 90, I, Quarter, None...
Applying action 1170) 77, T, None, None
Applying action 1069) 71, T, None, None...
Applying action 976) 64, T, None, None
Applying action 878) 57, L, ThreeQuarters, Flipped...
Applying action 787) 52, L, ThreeQuarters, None
Applying action 677) 44, I, Quarter, None...
Applying action 479) 31, S, None, None
Applying action 604) 40, I, None, None...
Applying action 304) 20, L, ThreeQuarters, None
Applying action 445) 28, S, Quarter, None...
Applying action 115) 6, L, ThreeQuarters, Flipped
Applying action 398) 25, T, None, None...
Applying action 68) 3, S, None, None
Applying action 10) 0, T, None, None...
Applying action 1235) 96, I, Quarter, None...
Applying action 1206) 84, L, ThreeQuarters, None
Applying action 1229) 90, I, Quarter, None...
Applying action 1170) 77, T, None, None
Applying action 1068) 71, I, Quarter, None...
Applying action 878) 57, L, ThreeQuarters, Flipped
Applying action 851) 55, S, Quarter, None...
Applying action 791) 52, T, None, None
Applying action 582) 37, T, None, None...
Applying action 750) 50, L, Half, Flipped
Applying action 507) 33, L, ThreeQuarters, None...
Applying action 457) 30, T, None, None
Applying action 282) 17, L, ThreeQuarters, Flipped...
Applying action 265) 16, I, None, None
Applying action 70) 3, S, Quarter, None...
Applying action 16) 0, S, Quarter, None
Applying action 1235) 96, I, Quarter, None...
